ds_name,classifier_name,metric_name,true_value
hepatitis,DecisionTreeClassifier,balanced_accuracy,0.6329
hepatitis,DecisionTreeClassifier,f1,0.6226
hepatitis,DecisionTreeClassifier,precision,0.6413
hepatitis,DecisionTreeClassifier,recall,0.6329
hepatitis,LogisticRegression,accuracy,0.8131
hepatitis,LogisticRegression,balanced_accuracy,0.7799
hepatitis,LogisticRegression,f1,0.7333
hepatitis,LogisticRegression,precision,0.7320
hepatitis,LogisticRegression,recall,0.7799
hepatitis,RandomForestClassifier,accuracy,0.8013
hepatitis,RandomForestClassifier,balanced_accuracy,0.7803
hepatitis,RandomForestClassifier,f1,0.7300
hepatitis,RandomForestClassifier,precision,0.7298
hepatitis,RandomForestClassifier,recall,0.7803
hepatitis,SVC,accuracy,0.8075
hepatitis,SVC,balanced_accuracy,0.7841
hepatitis,SVC,f1,0.7341
hepatitis,SVC,precision,0.7293
hepatitis,SVC,recall,0.7841
movement_libras,DecisionTreeClassifier,accuracy,0.6842
movement_libras,DecisionTreeClassifier,balanced_accuracy,0.6850
movement_libras,DecisionTreeClassifier,f1,0.6635
movement_libras,DecisionTreeClassifier,precision,0.7065
movement_libras,DecisionTreeClassifier,recall,0.6850
movement_libras,LogisticRegression,accuracy,0.7672
movement_libras,LogisticRegression,balanced_accuracy,0.7706
movement_libras,LogisticRegression,f1,0.7510
movement_libras,LogisticRegression,precision,0.7914
movement_libras,LogisticRegression,recall,0.7706
movement_libras,RandomForestClassifier,accuracy,0.8250
movement_libras,RandomForestClassifier,balanced_accuracy,0.8261
movement_libras,RandomForestClassifier,f1,0.8123
movement_libras,RandomForestClassifier,precision,0.8448
movement_libras,RandomForestClassifier,recall,0.8261
movement_libras,SVC,accuracy,0.8792
movement_libras,SVC,balanced_accuracy,0.8794
movement_libras,SVC,f1,0.8677
movement_libras,SVC,precision,0.8923
movement_libras,SVC,recall,0.8794
new_thyroid,DecisionTreeClassifier,accuracy,0.9314
new_thyroid,DecisionTreeClassifier,balanced_accuracy,0.9082
new_thyroid,DecisionTreeClassifier,f1,0.9072
new_thyroid,DecisionTreeClassifier,precision,0.9241
new_thyroid,DecisionTreeClassifier,recall,0.9082
new_thyroid,LogisticRegression,accuracy,0.9682
new_thyroid,LogisticRegression,balanced_accuracy,0.9524
new_thyroid,LogisticRegression,f1,0.9549
new_thyroid,LogisticRegression,precision,0.9695
new_thyroid,LogisticRegression,recall,0.9524
new_thyroid,RandomForestClassifier,accuracy,0.8886
new_thyroid,RandomForestClassifier,balanced_accuracy,0.9381
new_thyroid,RandomForestClassifier,f1,0.8806
new_thyroid,RandomForestClassifier,precision,0.8593
new_thyroid,RandomForestClassifier,recall,0.9381
new_thyroid,SVC,accuracy,0.9705
new_thyroid,SVC,balanced_accuracy,0.9746
new_thyroid,SVC,f1,0.9630
new_thyroid,SVC,precision,0.9602
new_thyroid,SVC,recall,0.9746
page_blocks,DecisionTreeClassifier,accuracy,0.9113
page_blocks,DecisionTreeClassifier,balanced_accuracy,0.8789
page_blocks,DecisionTreeClassifier,f1,0.7383
page_blocks,DecisionTreeClassifier,precision,0.6956
page_blocks,DecisionTreeClassifier,recall,0.8789
page_blocks,LogisticRegression,accuracy,0.8921
page_blocks,LogisticRegression,balanced_accuracy,0.9133
page_blocks,LogisticRegression,f1,0.6501
page_blocks,LogisticRegression,precision,0.5550
page_blocks,LogisticRegression,recall,0.9133
page_blocks,RandomForestClassifier,accuracy,0.9483
page_blocks,RandomForestClassifier,balanced_accuracy,0.9299
page_blocks,RandomForestClassifier,f1,0.7997
page_blocks,RandomForestClassifier,precision,0.7315
page_blocks,RandomForestClassifier,recall,0.9299
page_blocks,SVC,accuracy,0.9136
page_blocks,SVC,balanced_accuracy,0.9256
page_blocks,SVC,f1,0.7094
page_blocks,SVC,precision,0.6152
page_blocks,SVC,recall,0.9256
postoperative_patient_data,DecisionTreeClassifier,accuracy,0.5500
postoperative_patient_data,DecisionTreeClassifier,balanced_accuracy,0.4232
postoperative_patient_data,DecisionTreeClassifier,f1,0.4150
postoperative_patient_data,DecisionTreeClassifier,precision,0.4284
postoperative_patient_data,DecisionTreeClassifier,recall,0.4232
postoperative_patient_data,LogisticRegression,accuracy,0.4578
postoperative_patient_data,LogisticRegression,balanced_accuracy,0.4675
postoperative_patient_data,LogisticRegression,f1,0.4046
postoperative_patient_data,LogisticRegression,precision,0.4695
postoperative_patient_data,LogisticRegression,recall,0.4675
postoperative_patient_data,RandomForestClassifier,accuracy,0.5289
postoperative_patient_data,RandomForestClassifier,balanced_accuracy,0.4275
postoperative_patient_data,RandomForestClassifier,f1,0.4098
postoperative_patient_data,RandomForestClassifier,precision,0.4357
