,dataset_name,classifier_name,splitter_method,n_splits,metric_name,expected_estimate,estimate_std,true_value,bias
159,allrep,LogisticRegression,ShuffleSplit,2,balanced_accuracy,0.82057,0.06681,0.81560,0.00497
160,allrep,LogisticRegression,ShuffleSplit,5,balanced_accuracy,0.80950,0.04242,0.81560,-0.00610
161,allrep,LogisticRegression,ShuffleSplit,10,balanced_accuracy,0.80438,0.03487,0.81560,-0.01122
162,allrep,LogisticRegression,StratifiedKFold,2,balanced_accuracy,0.76479,0.02180,0.81560,-0.05081
163,allrep,LogisticRegression,StratifiedKFold,5,balanced_accuracy,0.79158,0.01782,0.81560,-0.02402
164,allrep,LogisticRegression,StratifiedKFold,10,balanced_accuracy,0.79704,0.01987,0.81560,-0.01856
165,allrep,LogisticRegression,StratifiedShuffleSplit,2,balanced_accuracy,0.78522,0.06196,0.81560,-0.03038
166,allrep,LogisticRegression,StratifiedShuffleSplit,5,balanced_accuracy,0.78887,0.05748,0.81560,-0.02673
167,allrep,LogisticRegression,StratifiedShuffleSplit,10,balanced_accuracy,0.79397,0.03630,0.81560,-0.02163
168,allrep,LogisticRegression,CBDSCV,2,f1,0.46424,0.01725,0.48510,-0.02086
169,allrep,LogisticRegression,CBDSCV,5,f1,0.47582,0.00594,0.48510,-0.00928
170,allrep,LogisticRegression,CBDSCV,10,f1,0.47230,0.00829,0.48510,-0.01280
171,allrep,LogisticRegression,CBDSCV_Mini,2,f1,0.46528,0.01150,0.48510,-0.01982
172,allrep,LogisticRegression,CBDSCV_Mini,5,f1,0.47531,0.00702,0.48510,-0.00979
173,allrep,LogisticRegression,CBDSCV_Mini,10,f1,0.47162,0.00895,0.48510,-0.01348
174,allrep,LogisticRegression,DBSCV,2,f1,0.46919,0.01347,0.48510,-0.01591
175,allrep,LogisticRegression,DBSCV,5,f1,0.47560,0.00954,0.48510,-0.00950
176,allrep,LogisticRegression,DBSCV,10,f1,0.47245,0.00848,0.48510,-0.01265
177,allrep,LogisticRegression,DOBSCV,2,f1,0.46757,0.01035,0.48510,-0.01753
178,allrep,LogisticRegression,DOBSCV,5,f1,0.47572,0.00780,0.48510,-0.00938
179,allrep,LogisticRegression,DOBSCV,10,f1,0.47400,0.00884,0.48510,-0.01110
180,allrep,LogisticRegression,KFold,2,f1,0.46981,0.01033,0.48510,-0.01529
181,allrep,LogisticRegression,KFold,5,f1,0.47514,0.00859,0.48510,-0.00996
182,allrep,LogisticRegression,KFold,10,f1,0.47061,0.00867,0.48510,-0.01449
183,allrep,LogisticRegression,ShuffleSplit,2,f1,0.48263,0.04203,0.48510,-0.00247
184,allrep,LogisticRegression,ShuffleSplit,5,f1,0.47757,0.02408,0.48510,-0.00753
185,allrep,LogisticRegression,ShuffleSplit,10,f1,0.47120,0.02222,0.48510,-0.01390
186,allrep,LogisticRegression,StratifiedKFold,2,f1,0.46726,0.00881,0.48510,-0.01784
187,allrep,LogisticRegression,StratifiedKFold,5,f1,0.47991,0.00672,0.48510,-0.00519
188,allrep,LogisticRegression,StratifiedKFold,10,f1,0.48601,0.00734,0.48510,0.00091
189,allrep,LogisticRegression,StratifiedShuffleSplit,2,f1,0.47476,0.02843,0.48510,-0.01034
190,allrep,LogisticRegression,StratifiedShuffleSplit,5,f1,0.47996,0.02363,0.48510,-0.00514
191,allrep,LogisticRegression,StratifiedShuffleSplit,10,f1,0.48129,0.01733,0.48510,-0.00381
192,allrep,LogisticRegression,CBDSCV,2,precision,0.39568,0.01177,0.40900,-0.01332
193,allrep,LogisticRegression,CBDSCV,5,precision,0.40436,0.00387,0.40900,-0.00464
194,allrep,LogisticRegression,CBDSCV,10,precision,0.40596,0.00604,0.40900,-0.00304
195,allrep,LogisticRegression,CBDSCV_Mini,2,precision,0.39619,0.00734,0.40900,-0.01281
196,allrep,LogisticRegression,CBDSCV_Mini,5,precision,0.40368,0.00558,0.40900,-0.00532
197,allrep,LogisticRegression,CBDSCV_Mini,10,precision,0.40431,0.00696,0.40900,-0.00469
198,allrep,LogisticRegression,DBSCV,2,precision,0.39903,0.00905,0.40900,-0.00997
199,allrep,LogisticRegression,DBSCV,5,precision,0.40405,0.00633,0.40900,-0.00495
200,allrep,LogisticRegression,DBSCV,10,precision,0.40485,0.00569,0.40900,-0.00415
201,allrep,LogisticRegression,DOBSCV,2,precision,0.39774,0.00698,0.40900,-0.01126
202,allrep,LogisticRegression,DOBSCV,5,precision,0.40417,0.00531,0.40900,-0.00483
203,allrep,LogisticRegression,DOBSCV,10,precision,0.40610,0.00524,0.40900,-0.00290
204,allrep,LogisticRegression,KFold,2,precision,0.39868,0.00673,0.40900,-0.01032
205,allrep,LogisticRegression,KFold,5,precision,0.40391,0.00597,0.40900,-0.00509
206,allrep,LogisticRegression,KFold,10,precision,0.40388,0.00529,0.40900,-0.00512
207,allrep,LogisticRegression,ShuffleSplit,2,precision,0.41266,0.03162,0.40900,0.00366
208,allrep,LogisticRegression,ShuffleSplit,5,precision,0.40939,0.01876,0.40900,0.00039
209,allrep,LogisticRegression,ShuffleSplit,10,precision,0.40467,0.01623,0.40900,-0.00433
210,allrep,LogisticRegression,StratifiedKFold,2,precision,0.39679,0.00611,0.40900,-0.01221
211,allrep,LogisticRegression,StratifiedKFold,5,precision,0.40544,0.00449,0.40900,-0.00356
212,allrep,LogisticRegression,StratifiedKFold,10,precision,0.41150,0.00490,0.40900,0.00250
213,allrep,LogisticRegression,StratifiedShuffleSplit,2,precision,0.40261,0.01963,0.40900,-0.00639
214,allrep,LogisticRegression,StratifiedShuffleSplit,5,precision,0.40710,0.01554,0.40900,-0.00190
215,allrep,LogisticRegression,StratifiedShuffleSplit,10,precision,0.40774,0.01162,0.40900,-0.00126
216,allrep,LogisticRegression,CBDSCV,2,recall,0.76179,0.03892,0.81560,-0.05381
217,allrep,LogisticRegression,CBDSCV,5,recall,0.79345,0.02251,0.81560,-0.02215
218,allrep,LogisticRegression,CBDSCV,10,recall,0.78894,0.02614,0.81560,-0.02666
219,allrep,LogisticRegression,CBDSCV_Mini,2,recall,0.76228,0.02740,0.81560,-0.05332
220,allrep,LogisticRegression,CBDSCV_Mini,5,recall,0.79243,0.01560,0.81560,-0.02317
221,allrep,LogisticRegression,CBDSCV_Mini,10,recall,0.78371,0.02002,0.81560,-0.03189
222,allrep,LogisticRegression,DBSCV,2,recall,0.76978,0.03239,0.81560,-0.04582
223,allrep,LogisticRegression,DBSCV,5,recall,0.79731,0.02184,0.81560,-0.01829
224,allrep,LogisticRegression,DBSCV,10,recall,0.79082,0.02751,0.81560,-0.02478
225,allrep,LogisticRegression,DOBSCV,2,recall,0.76989,0.02658,0.81560,-0.04570
226,allrep,LogisticRegression,DOBSCV,5,recall,0.79203,0.02495,0.81560,-0.02357
227,allrep,LogisticRegression,DOBSCV,10,recall,0.77908,0.02878,0.81560,-0.03652
228,allrep,LogisticRegression,KFold,2,recall,0.77426,0.02495,0.81560,-0.04134
229,allrep,LogisticRegression,KFold,5,recall,0.79146,0.02508,0.81560,-0.02414
230,allrep,LogisticRegression,KFold,10,recall,0.78023,0.02909,0.81560,-0.03537
231,allrep,LogisticRegression,ShuffleSplit,2,recall,0.80972,0.07122,0.81560,-0.00588
232,allrep,LogisticRegression,ShuffleSplit,5,recall,0.79534,0.05264,0.81560,-0.02026
233,allrep,LogisticRegression,ShuffleSplit,10,recall,0.78894,0.03502,0.81560,-0.02666
234,allrep,LogisticRegression,StratifiedKFold,2,recall,0.76479,0.02180,0.81560,-0.05081
235,allrep,LogisticRegression,StratifiedKFold,5,recall,0.79158,0.01782,0.81560,-0.02402
236,allrep,LogisticRegression,StratifiedKFold,10,recall,0.79704,0.01987,0.81560,-0.01856
237,allrep,LogisticRegression,StratifiedShuffleSplit,2,recall,0.78522,0.06196,0.81560,-0.03038
238,allrep,LogisticRegression,StratifiedShuffleSplit,5,recall,0.78887,0.05748,0.81560,-0.02673
239,allrep,LogisticRegression,StratifiedShuffleSplit,10,recall,0.79397,0.03630,0.81560,-0.02163
240,allrep,RandomForestClassifier,CBDSCV,2,accuracy,0.95853,0.00389,0.95210,0.00643
241,allrep,RandomForestClassifier,CBDSCV,5,accuracy,0.95337,0.00406,0.95210,0.00127
242,allrep,RandomForestClassifier,CBDSCV,10,accuracy,0.95352,0.00322,0.95210,0.00142
243,allrep,RandomForestClassifier,CBDSCV_Mini,2,accuracy,0.95834,0.00378,0.95210,0.00624
244,allrep,RandomForestClassifier,CBDSCV_Mini,5,accuracy,0.95309,0.00422,0.95210,0.00099
245,allrep,RandomForestClassifier,CBDSCV_Mini,10,accuracy,0.95291,0.00300,0.95210,0.00081
246,allrep,RandomForestClassifier,DBSCV,2,accuracy,0.95642,0.00449,0.95210,0.00433
247,allrep,RandomForestClassifier,DBSCV,5,accuracy,0.95396,0.00324,0.95210,0.00186
248,allrep,RandomForestClassifier,DBSCV,10,accuracy,0.95319,0.00469,0.95210,0.00109
249,allrep,RandomForestClassifier,DOBSCV,2,accuracy,0.95663,0.00397,0.95210,0.00453
250,allrep,RandomForestClassifier,DOBSCV,5,accuracy,0.95296,0.00349,0.95210,0.00086
251,allrep,RandomForestClassifier,DOBSCV,10,accuracy,0.95264,0.00331,0.95210,0.00054
252,allrep,RandomForestClassifier,KFold,2,accuracy,0.95744,0.00408,0.95210,0.00534
253,allrep,RandomForestClassifier,KFold,5,accuracy,0.95318,0.00344,0.95210,0.00108
254,allrep,RandomForestClassifier,KFold,10,accuracy,0.95215,0.00300,0.95210,0.00005
255,allrep,RandomForestClassifier,ShuffleSplit,2,accuracy,0.95434,0.01073,0.95210,0.00224
256,allrep,RandomForestClassifier,ShuffleSplit,5,accuracy,0.95320,0.00665,0.95210,0.00110
257,allrep,RandomForestClassifier,ShuffleSplit,10,accuracy,0.95204,0.00485,0.95210,-0.00006
258,allrep,RandomForestClassifier,StratifiedKFold,2,accuracy,0.95933,0.00289,0.95210,0.00723
259,allrep,RandomForestClassifier,StratifiedKFold,5,accuracy,0.95493,0.00379,0.95210,0.00283
260,allrep,RandomForestClassifier,StratifiedKFold,10,accuracy,0.95256,0.00234,0.95210,0.00046
261,allrep,RandomForestClassifier,StratifiedShuffleSplit,2,accuracy,0.95117,0.00768,0.95210,-0.00093
262,allrep,RandomForestClassifier,StratifiedShuffleSplit,5,accuracy,0.95082,0.00822,0.95210,-0.00128
263,allrep,RandomForestClassifier,StratifiedShuffleSplit,10,accuracy,0.95119,0.00561,0.95210,-0.00091
264,allrep,RandomForestClassifier,CBDSCV,2,balanced_accuracy,0.77471,0.03305,0.84640,-0.07169
265,allrep,RandomForestClassifier,CBDSCV,5,balanced_accuracy,0.83552,0.02074,0.84640,-0.01088
266,allrep,RandomForestClassifier,CBDSCV,10,balanced_accuracy,0.84046,0.03155,0.84640,-0.00594
