dataset_name,classifier_name,splitter_method,n_splits,metric_name,expected_estimate,estimate_std
allrep,LogisticRegression,DBSCV,2,accuracy,0.90080,0.00183
allrep,LogisticRegression,DBSCV,2,balanced_accuracy,0.76978,0.03239
allrep,LogisticRegression,DBSCV,2,f1,0.46919,0.01347
allrep,LogisticRegression,DBSCV,2,precision,0.39903,0.00905
allrep,LogisticRegression,DBSCV,2,recall,0.76978,0.03239
allrep,LogisticRegression,DBSCV,5,accuracy,0.90177,0.00168
allrep,LogisticRegression,DBSCV,5,balanced_accuracy,0.79932,0.02008
allrep,LogisticRegression,DBSCV,5,f1,0.47560,0.00954
allrep,LogisticRegression,DBSCV,5,precision,0.40405,0.00633
allrep,LogisticRegression,DBSCV,5,recall,0.79731,0.02184
allrep,LogisticRegression,DBSCV,10,accuracy,0.90189,0.00167
allrep,LogisticRegression,DBSCV,10,balanced_accuracy,0.80557,0.02409
allrep,LogisticRegression,DBSCV,10,f1,0.47245,0.00848
allrep,LogisticRegression,DBSCV,10,precision,0.40485,0.00569
allrep,LogisticRegression,DBSCV,10,recall,0.79082,0.02751
allrep,LogisticRegression,DOBSCV,2,accuracy,0.90052,0.00128
allrep,LogisticRegression,DOBSCV,2,balanced_accuracy,0.76989,0.02658
allrep,LogisticRegression,DOBSCV,2,f1,0.46757,0.01035
allrep,LogisticRegression,DOBSCV,2,precision,0.39774,0.00698
allrep,LogisticRegression,DOBSCV,2,recall,0.76989,0.02658
allrep,LogisticRegression,DOBSCV,5,accuracy,0.90183,0.00128
allrep,LogisticRegression,DOBSCV,5,balanced_accuracy,0.79203,0.02495
allrep,LogisticRegression,DOBSCV,5,f1,0.47572,0.00780
allrep,LogisticRegression,DOBSCV,5,precision,0.40417,0.00531
allrep,LogisticRegression,DOBSCV,5,recall,0.79203,0.02495
allrep,LogisticRegression,DOBSCV,10,accuracy,0.90193,0.00160
allrep,LogisticRegression,DOBSCV,10,balanced_accuracy,0.79940,0.02722
allrep,LogisticRegression,DOBSCV,10,f1,0.47400,0.00884
allrep,LogisticRegression,DOBSCV,10,precision,0.40610,0.00524
allrep,LogisticRegression,DOBSCV,10,recall,0.77908,0.02878
allrep,LogisticRegression,KFold,2,accuracy,0.90085,0.00174
allrep,LogisticRegression,KFold,2,balanced_accuracy,0.77426,0.02495
allrep,LogisticRegression,KFold,2,f1,0.46981,0.01033
allrep,LogisticRegression,KFold,2,precision,0.39868,0.00673
allrep,LogisticRegression,KFold,2,recall,0.77426,0.02495
allrep,LogisticRegression,KFold,5,accuracy,0.90168,0.00174
allrep,LogisticRegression,KFold,5,balanced_accuracy,0.79146,0.02508
allrep,LogisticRegression,KFold,5,f1,0.47514,0.00859
allrep,LogisticRegression,KFold,5,precision,0.40391,0.00597
allrep,LogisticRegression,KFold,5,recall,0.79146,0.02508
allrep,LogisticRegression,KFold,10,accuracy,0.90176,0.00166
allrep,LogisticRegression,KFold,10,balanced_accuracy,0.79351,0.02600
allrep,LogisticRegression,KFold,10,f1,0.47061,0.00867
allrep,LogisticRegression,KFold,10,precision,0.40388,0.00529
allrep,LogisticRegression,KFold,10,recall,0.78023,0.02909
allrep,LogisticRegression,ShuffleSplit,2,accuracy,0.90332,0.00767
allrep,LogisticRegression,ShuffleSplit,2,balanced_accuracy,0.82057,0.06681
allrep,LogisticRegression,ShuffleSplit,2,f1,0.48263,0.04203
allrep,LogisticRegression,ShuffleSplit,2,precision,0.41266,0.03162
allrep,LogisticRegression,ShuffleSplit,2,recall,0.80972,0.07122
allrep,LogisticRegression,ShuffleSplit,5,accuracy,0.90318,0.00504
allrep,LogisticRegression,ShuffleSplit,5,balanced_accuracy,0.80950,0.04242
allrep,LogisticRegression,ShuffleSplit,5,f1,0.47757,0.02408
allrep,LogisticRegression,ShuffleSplit,5,precision,0.40939,0.01876
allrep,LogisticRegression,ShuffleSplit,5,recall,0.79534,0.05264
allrep,LogisticRegression,ShuffleSplit,10,accuracy,0.90200,0.00418
allrep,LogisticRegression,ShuffleSplit,10,balanced_accuracy,0.80438,0.03487
allrep,LogisticRegression,ShuffleSplit,10,f1,0.47120,0.02222
allrep,LogisticRegression,ShuffleSplit,10,precision,0.40467,0.01623
allrep,LogisticRegression,ShuffleSplit,10,recall,0.78894,0.03502
allrep,LogisticRegression,StratifiedKFold,2,accuracy,0.90062,0.00154
allrep,LogisticRegression,StratifiedKFold,2,balanced_accuracy,0.76479,0.02180
allrep,LogisticRegression,StratifiedKFold,2,f1,0.46726,0.00881
allrep,LogisticRegression,StratifiedKFold,2,precision,0.39679,0.00611
allrep,LogisticRegression,StratifiedKFold,2,recall,0.76479,0.02180
allrep,LogisticRegression,StratifiedKFold,5,accuracy,0.90172,0.00126
allrep,LogisticRegression,StratifiedKFold,5,balanced_accuracy,0.79158,0.01782
allrep,LogisticRegression,StratifiedKFold,5,f1,0.47991,0.00672
allrep,LogisticRegression,StratifiedKFold,5,precision,0.40544,0.00449
allrep,LogisticRegression,StratifiedKFold,5,recall,0.79158,0.01782
allrep,LogisticRegression,StratifiedKFold,10,accuracy,0.90191,0.00148
allrep,LogisticRegression,StratifiedKFold,10,balanced_accuracy,0.79704,0.01987
allrep,LogisticRegression,StratifiedKFold,10,f1,0.48601,0.00734
allrep,LogisticRegression,StratifiedKFold,10,precision,0.41150,0.00490
allrep,LogisticRegression,StratifiedKFold,10,recall,0.79704,0.01987
allrep,LogisticRegression,StratifiedShuffleSplit,2,accuracy,0.90045,0.00755
allrep,LogisticRegression,StratifiedShuffleSplit,2,balanced_accuracy,0.78522,0.06196
allrep,LogisticRegression,StratifiedShuffleSplit,2,f1,0.47476,0.02843
allrep,LogisticRegression,StratifiedShuffleSplit,2,precision,0.40261,0.01963
allrep,LogisticRegression,StratifiedShuffleSplit,2,recall,0.78522,0.06196
allrep,LogisticRegression,StratifiedShuffleSplit,5,accuracy,0.90171,0.00524
allrep,LogisticRegression,StratifiedShuffleSplit,5,balanced_accuracy,0.78887,0.05748
