,dataset_name,classifier_name,splitter_method,repeat_id,n_splits,running_time
253,flare,LogisticRegression,StratifiedKFold,4,5,0.0008
254,flare,LogisticRegression,StratifiedKFold,4,10,0.0008
255,flare,LogisticRegression,StratifiedKFold,5,2,0.0008
256,flare,LogisticRegression,StratifiedKFold,5,5,0.0008
257,flare,LogisticRegression,StratifiedKFold,5,10,0.0009
258,flare,LogisticRegression,StratifiedKFold,6,2,0.0008
259,flare,LogisticRegression,StratifiedKFold,6,5,0.0008
260,flare,LogisticRegression,StratifiedKFold,6,10,0.0008
261,flare,LogisticRegression,StratifiedKFold,7,2,0.0008
262,flare,LogisticRegression,StratifiedKFold,7,5,0.0008
263,flare,LogisticRegression,StratifiedKFold,7,10,0.0009
264,flare,LogisticRegression,StratifiedKFold,8,2,0.0008
265,flare,LogisticRegression,StratifiedKFold,8,5,0.0008
266,flare,LogisticRegression,StratifiedKFold,8,10,0.0008
267,flare,LogisticRegression,StratifiedKFold,9,2,0.0008
268,flare,LogisticRegression,StratifiedKFold,9,5,0.0008
269,flare,LogisticRegression,StratifiedKFold,9,10,0.0008
270,flare,LogisticRegression,StratifiedKFold,10,2,0.0008
271,flare,LogisticRegression,StratifiedKFold,10,5,0.0008
272,flare,LogisticRegression,StratifiedKFold,10,10,0.0008
273,flare,LogisticRegression,StratifiedKFold,11,2,0.0008
274,flare,LogisticRegression,StratifiedKFold,11,5,0.0008
275,flare,LogisticRegression,StratifiedKFold,11,10,0.0008
276,flare,LogisticRegression,StratifiedKFold,12,2,0.0008
277,flare,LogisticRegression,StratifiedKFold,12,5,0.0008
278,flare,LogisticRegression,StratifiedKFold,12,10,0.0008
279,flare,LogisticRegression,StratifiedKFold,13,2,0.0008
280,flare,LogisticRegression,StratifiedKFold,13,5,0.0008
281,flare,LogisticRegression,StratifiedKFold,13,10,0.0009
282,flare,LogisticRegression,StratifiedKFold,14,2,0.0008
283,flare,LogisticRegression,StratifiedKFold,14,5,0.0008
284,flare,LogisticRegression,StratifiedKFold,14,10,0.0008
285,flare,LogisticRegression,StratifiedKFold,15,2,0.0008
286,flare,LogisticRegression,StratifiedKFold,15,5,0.0008
287,flare,LogisticRegression,StratifiedKFold,15,10,0.0009
288,flare,LogisticRegression,StratifiedKFold,16,2,0.0008
289,flare,LogisticRegression,StratifiedKFold,16,5,0.0008
290,flare,LogisticRegression,StratifiedKFold,16,10,0.0014
291,flare,LogisticRegression,StratifiedKFold,17,2,0.0008
292,flare,LogisticRegression,StratifiedKFold,17,5,0.0008
293,flare,LogisticRegression,StratifiedKFold,17,10,0.0008
294,flare,LogisticRegression,StratifiedKFold,18,2,0.0008
295,flare,LogisticRegression,StratifiedKFold,18,5,0.0008
296,flare,LogisticRegression,StratifiedKFold,18,10,0.0008
297,flare,LogisticRegression,StratifiedKFold,19,2,0.0008
298,flare,LogisticRegression,StratifiedKFold,19,5,0.0008
299,flare,LogisticRegression,StratifiedKFold,19,10,0.0008
300,flare,LogisticRegression,KFold,0,2,0.0005
301,flare,LogisticRegression,KFold,0,5,0.0006
302,flare,LogisticRegression,KFold,0,10,0.0007
303,flare,LogisticRegression,KFold,1,2,0.0005
304,flare,LogisticRegression,KFold,1,5,0.0006
305,flare,LogisticRegression,KFold,1,10,0.0007
306,flare,LogisticRegression,KFold,2,2,0.0005
307,flare,LogisticRegression,KFold,2,5,0.0006
308,flare,LogisticRegression,KFold,2,10,0.0007
309,flare,LogisticRegression,KFold,3,2,0.0005
310,flare,LogisticRegression,KFold,3,5,0.0006
311,flare,LogisticRegression,KFold,3,10,0.0007
312,flare,LogisticRegression,KFold,4,2,0.0005
313,flare,LogisticRegression,KFold,4,5,0.0006
314,flare,LogisticRegression,KFold,4,10,0.0007
315,flare,LogisticRegression,KFold,5,2,0.0005
316,flare,LogisticRegression,KFold,5,5,0.0006
317,flare,LogisticRegression,KFold,5,10,0.0007
318,flare,LogisticRegression,KFold,6,2,0.0005
319,flare,LogisticRegression,KFold,6,5,0.0006
320,flare,LogisticRegression,KFold,6,10,0.0007
321,flare,LogisticRegression,KFold,7,2,0.0005
322,flare,LogisticRegression,KFold,7,5,0.0006
323,flare,LogisticRegression,KFold,7,10,0.0007
324,flare,LogisticRegression,KFold,8,2,0.0005
325,flare,LogisticRegression,KFold,8,5,0.0006
326,flare,LogisticRegression,KFold,8,10,0.0007
327,flare,LogisticRegression,KFold,9,2,0.0005
328,flare,LogisticRegression,KFold,9,5,0.0006
329,flare,LogisticRegression,KFold,9,10,0.0007
330,flare,LogisticRegression,KFold,10,2,0.0005
331,flare,LogisticRegression,KFold,10,5,0.0006
332,flare,LogisticRegression,KFold,10,10,0.0007
333,flare,LogisticRegression,KFold,11,2,0.0005
334,flare,LogisticRegression,KFold,11,5,0.0006
335,flare,LogisticRegression,KFold,11,10,0.0007
